role,company,years_of_exp,city,country,gender,currency,salary,mode,period,compensation,verified
IT Security Engineer,Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,12000000,Net,Monthly,Stock: Around 1x salary per year Performance Bonus: 6-8x Salary (Depends on your performance and company performance),
Software Developer,Purchase to unlock 👆,1,Surabaya,ID,Male,USD,3000,Gross,Monthly,"Stock options, flexible time off, WFH",Verified
Engineering Manager,Bukalapak,7,Jakarta,ID,Prefer not to tell,IDR,23000000,Gross,Monthly,,
Operation Team Leader,Purchase to unlock 👆,4,Jakarta,ID,Male,IDR,5800000,Gross,Monthly,,
Account Executivet,Purchase to unlock 👆,1,Pekanbaru,ID,Male,IDR,4500000,Gross,Monthly,"BPJS TK, BPJS Kesehatan, Bensin, Sewa Motor, dan Komisi",
Front-end Developer,Purchase to unlock 👆,1,Jakarta Barat,ID,Prefer not to tell,IDR,9000000,Gross,Monthly,"WFH, Insurance",
Software Engineer,Purchase to unlock 👆,1,Jakarta,ID,Prefer not to tell,IDR,12500000,Net,Monthly,"Insurance, full WFH(currently), 18 days off,",
Strategic Content Manager,Purchase to unlock 👆,9,Jakarta,ID,Male,IDR,14300000,Gross,Monthly,,
Fullstack Developer,Purchase to unlock 👆,6,Jakarta,ID,Prefer not to tell,IDR,300000000,Net,Annual,"Insurance, WFH",
Junior Operator I,Purchase to unlock 👆,3,Palembang,ID,Male,IDR,6000000,Gross,Monthly,,
Administration,Gojek,1,Jakarta,ID,Female,IDR,5000000,Gross,Monthly,Stock options,
Talent Acquisition,Purchase to unlock 👆,1,Depok,ID,Prefer not to tell,USD,2000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,4,Surabaya,ID,Male,IDR,5000,Gross,Monthly,Opsi saham,
Data Analyst,Purchase to unlock 👆,4,Surabaya,ID,Male,USD,5000,Gross,Monthly,"Opsi saham, uang pangkal, konsumsi, fasilitas kesehatan, operasional (laptop), dana transportasi.",
Product Manager,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,15700000,Gross,Monthly,1x Bonus / Year Full WFH,
Creative Manager,Purchase to unlock 👆,10,Jakarta,ID,Male,IDR,24000000,Net,Monthly,,
Product Lead,Purchase to unlock 👆,3,Jakarta,ID,Female,IDR,11500000,Gross,Monthly,"BPJS, Insurance",
Android Developer,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,7000000,Gross,Monthly,"Health Insurance, Yearly Bonus",
SEO Specialist,Purchase to unlock 👆,2,Surabaya,ID,Prefer not to tell,IDR,7000000,Gross,Monthly,,Verified
Actor,Purchase to unlock 👆,8,New York,US,Prefer not to tell,USD,200000,Gross,Monthly,,
Operation Officer,Purchase to unlock 👆,4,Jakarta,ID,Male,IDR,18200000,Net,Monthly,,
UX Designer,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,30000000,Net,Monthly,"Meals, Communication",
Management Trainee,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,13000000,Gross,Monthly,,
Android Engineer,Purchase to unlock 👆,0,Yogyakarta,ID,Prefer not to tell,IDR,4000000,Gross,Monthly,,
Front-End Engineer,Purchase to unlock 👆,3,South Tangerang,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
Senior System Engineer,Purchase to unlock 👆,6,Jakarta,ID,Prefer not to tell,IDR,20000000,Gross,Monthly,,
Product Researcher,Gojek,3,Jakarta,ID,Prefer not to tell,IDR,17000000,Net,Monthly,RSU,
Marketing Analysist,Purchase to unlock 👆,0,Jakarta,ID,Female,IDR,6000000,Net,Monthly,Insurance,
Solution Architect,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,26000000,Net,Monthly,"Medical Insurance, annual leave, gym, lunch",
Administration,Purchase to unlock 👆,2,Semarang,ID,Female,IDR,4500000,Net,Monthly,,
Software engineer,Gojek,4,Bekasi,ID,Prefer not to tell,IDR,31000000,Net,Monthly,Insurance,
Supply Chain Manager,Purchase to unlock 👆,5,Yogyakarta,ID,Female,IDR,30000000,Gross,Monthly,"Insurance, Car ownership program, danone stock, deposito pension program (differ from bpjs), 6 months birth leave",
Frontend Software Engineer,Purchase to unlock 👆,2,Surabaya,ID,Prefer not to tell,IDR,12000000,Net,Monthly,,
IT SUPPORT,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,8600000,Gross,Monthly,,
SAP Basis Consultant,Purchase to unlock 👆,9,Bekasi,ID,Male,IDR,20000000,Gross,Monthly,,
Senior Market Partnership Associates,Traveloka,5,Jakarta,ID,Female,IDR,11500000,Net,Monthly,"Transport, Lunch, Yearly Traveloka points value 5mio++",
Senior Market Partnership Associates,Traveloka,5,Jakarta,ID,Female,IDR,11500000,Net,Monthly,"Transport, Lunch, Yearly Traveloka points value 5mio++",
Research,Gojek,5,Jakarta,ID,Prefer not to tell,IDR,32000000,Gross,Monthly,RSU,
Commerce Enablement Sales Team,Gojek,1,Semarang,ID,Male,IDR,3300000,Gross,Monthly,,
Graphic Designer,Purchase to unlock 👆,2,Jakara,ID,Male,IDR,6600000,Gross,Monthly,,
Frontend Developer,Purchase to unlock 👆,3,Yogyakarta,ID,Prefer not to tell,IDR,18600000,Gross,Monthly,,
Test Engineer,Gojek,2,Yogyakarta,ID,Female,IDR,20,Gross,Monthly,,
Fullstack Developer,Purchase to unlock 👆,1,Batam,ID,Prefer not to tell,IDR,9000000,Gross,Monthly,,
Senior Software Engineer,Bukalapak,6,Depok,ID,Male,IDR,24000000,Net,Monthly,"Medical insurance, budget entertainmenr, WFH",
React Native Developer,Purchase to unlock 👆,2,Tangerang,ID,Male,IDR,7500000,Net,Monthly,,
PMO,Purchase to unlock 👆,10,Jakarta,ID,Prefer not to tell,IDR,21000000,Net,Monthly,,
Business Strategy,Purchase to unlock 👆,9,Jakarta,ID,Prefer not to tell,IDR,14000000,Net,Monthly,,
Senior Software Engineer,Bukalapak,5,Depok,ID,Male,IDR,28000000,Net,Monthly,,
